State,Race,Year,Cause of death,"Cause of death, Simplified","Cause of death, Type",Cause of death Code,"Cause of Death Simplified, with ICD10 Code",Firearm Deaths,Total Deaths,Population,Firearm Death Rate (per 100k),Total Death Rate (per 100k),Firearm Percent of Total Deaths
Florida,White,2016,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),941,172164,16228615,5.798,1061,0.00547
Florida,Black or African American,2017,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),68,23566,3678445,1.849,641,0.00289
Florida,Black or African American,2017,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",13,23566,3678445,0.353,641,0.00055
Florida,Black or African American,2017,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),474,23566,3678445,12.886,641,0.02011
Florida,Black or African American,2017,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),25,23566,3678445,0.680,641,0.00106
Florida,Black or African American,2017,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),61,23566,3678445,1.658,641,0.00259
Florida,White,2017,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),60,177547,16488470,0.364,1077,0.00034
Florida,White,2017,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",19,177547,16488470,0.115,1077,0.00011
Florida,White,2017,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),306,177547,16488470,1.856,1077,0.00172
Florida,White,2017,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),449,177547,16488470,2.723,1077,0.00253
Florida,White,2017,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",165,177547,16488470,1.001,1077,0.00093
Florida,White,2017,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),1000,177547,16488470,6.065,1077,0.00563
Florida,White,2017,"Other and unspecified firearm discharge, undetermined intent","Unknown Intent, Unspecified Firearm",Unknown Intent,Y24,"Unknown Intent, Unspecified Firearm (Y24)",12,177547,16488470,0.073,1077,0.00007
Florida,Black or African American,2018,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),65,24166,3736443,1.740,647,0.00269
Florida,Black or African American,2018,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",10,24166,3736443,0.268,647,0.00041
Florida,Black or African American,2018,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),480,24166,3736443,12.846,647,0.01986
Florida,Black or African American,2018,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),35,24166,3736443,0.937,647,0.00145
Florida,Black or African American,2018,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),79,24166,3736443,2.114,647,0.00327
Florida,White,2018,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),63,178674,16721748,0.377,1069,0.00035
Florida,White,2018,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",16,178674,16721748,0.096,1069,0.00009
Florida,White,2018,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),336,178674,16721748,2.009,1069,0.00188
Florida,White,2018,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),421,178674,16721748,2.518,1069,0.00236
Florida,White,2018,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",146,178674,16721748,0.873,1069,0.00082
Florida,White,2018,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),1170,178674,16721748,6.997,1069,0.00655
Georgia,Black or African American,1999,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),21,16782,2343624,0.896,716,0.00125
Georgia,Black or African American,1999,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",16,16782,2343624,0.683,716,0.00095
Georgia,Black or African American,1999,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),248,16782,2343624,10.582,716,0.01478
Georgia,Black or African American,1999,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),17,16782,2343624,0.725,716,0.00101
Georgia,Black or African American,1999,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),75,16782,2343624,3.200,716,0.00447
Georgia,White,1999,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),13,44883,5503608,0.236,816,0.00029
Georgia,White,1999,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),121,44883,5503608,2.199,816,0.00270
Georgia,White,1999,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),43,44883,5503608,0.781,816,0.00096
Georgia,White,1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",48,44883,5503608,0.872,816,0.00107
Georgia,White,1999,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),427,44883,5503608,7.759,816,0.00951
Georgia,Asian or Pacific Islander,2000,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),10,332,192400,5.198,173,0.03012
Georgia,Black or African American,2000,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),22,17185,2395234,0.918,717,0.00128
Georgia,Black or African American,2000,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",12,17185,2395234,0.501,717,0.00070
Georgia,Black or African American,2000,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),241,17185,2395234,10.062,717,0.01402
Georgia,Black or African American,2000,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),16,17185,2395234,0.668,717,0.00093
Georgia,Black or African American,2000,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),69,17185,2395234,2.881,717,0.00402
Georgia,White,2000,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),22,46264,5572036,0.395,830,0.00048
Georgia,White,2000,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",12,46264,5572036,0.215,830,0.00026
Georgia,White,2000,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),140,46264,5572036,2.513,830,0.00303
Georgia,White,2000,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),48,46264,5572036,0.861,830,0.00104
Georgia,White,2000,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",46,46264,5572036,0.826,830,0.00099
Georgia,White,2000,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),395,46264,5572036,7.089,830,0.00854
Georgia,White,2000,"Other and unspecified firearm discharge, undetermined intent","Unknown Intent, Unspecified Firearm",Unknown Intent,Y24,"Unknown Intent, Unspecified Firearm (Y24)",12,46264,5572036,0.215,830,0.00026
Georgia,Black or African American,2001,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),21,17248,2468186,0.851,699,0.00122
Georgia,Black or African American,2001,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),253,17248,2468186,10.250,699,0.01467
Georgia,Black or African American,2001,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),15,17248,2468186,0.608,699,0.00087
Georgia,Black or African American,2001,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),47,17248,2468186,1.904,699,0.00272
Georgia,White,2001,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),17,46802,5668444,0.300,826,0.00036
Georgia,White,2001,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),14,46802,5668444,0.247,826,0.00030
Georgia,White,2001,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",12,46802,5668444,0.212,826,0.00026
Georgia,White,2001,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),139,46802,5668444,2.452,826,0.00297
Georgia,White,2001,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),57,46802,5668444,1.006,826,0.00122
Georgia,White,2001,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",50,46802,5668444,0.882,826,0.00107
Georgia,White,2001,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),447,46802,5668444,7.886,826,0.00955
Georgia,Black or African American,2002,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),11,17730,2522522,0.436,703,0.00062
Georgia,Black or African American,2002,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",11,17730,2522522,0.436,703,0.00062
Georgia,Black or African American,2002,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),281,17730,2522522,11.140,703,0.01585
Georgia,Black or African American,2002,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),16,17730,2522522,0.634,703,0.00090
Georgia,Black or African American,2002,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),54,17730,2522522,2.141,703,0.00305
Georgia,White,2002,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),12,47256,5727405,0.210,825,0.00025
Georgia,White,2002,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),10,47256,5727405,0.175,825,0.00021
Georgia,White,2002,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),148,47256,5727405,2.584,825,0.00313
Georgia,White,2002,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),52,47256,5727405,0.908,825,0.00110
Georgia,White,2002,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",64,47256,5727405,1.117,825,0.00135
Georgia,White,2002,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),417,47256,5727405,7.281,825,0.00882
Georgia,Asian or Pacific Islander,2003,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),10,364,240749,4.154,151,0.02747
Georgia,Black or African American,2003,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),13,17835,2571491,0.506,694,0.00073
Georgia,Black or African American,2003,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",16,17835,2571491,0.622,694,0.00090
Georgia,Black or African American,2003,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),277,17835,2571491,10.772,694,0.01553
Georgia,Black or African American,2003,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),19,17835,2571491,0.739,694,0.00107
Georgia,Black or African American,2003,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),51,17835,2571491,1.983,694,0.00286
Georgia,White,2003,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),10,48148,5776586,0.173,834,0.00021
Georgia,White,2003,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),10,48148,5776586,0.173,834,0.00021
Georgia,White,2003,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",11,48148,5776586,0.190,834,0.00023
Georgia,White,2003,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),153,48148,5776586,2.649,834,0.00318
Georgia,White,2003,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),49,48148,5776586,0.848,834,0.00102
Georgia,White,2003,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",58,48148,5776586,1.004,834,0.00120
Georgia,White,2003,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),472,48148,5776586,8.171,834,0.00980
Georgia,Black or African American,2004,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),21,17702,2635336,0.797,672,0.00119
Georgia,Black or African American,2004,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",13,17702,2635336,0.493,672,0.00073
Georgia,Black or African American,2004,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),231,17702,2635336,8.765,672,0.01305
Georgia,Black or African American,2004,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),18,17702,2635336,0.683,672,0.00102
Georgia,Black or African American,2004,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),50,17702,2635336,1.897,672,0.00282
Georgia,White,2004,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),18,47658,5841377,0.308,816,0.00038
Georgia,White,2004,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",10,47658,5841377,0.171,816,0.00021
Georgia,White,2004,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),126,47658,5841377,2.157,816,0.00264
Georgia,White,2004,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),48,47658,5841377,0.822,816,0.00101
Georgia,White,2004,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",43,47658,5841377,0.736,816,0.00090
Georgia,White,2004,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),434,47658,5841377,7.430,816,0.00911
Georgia,Black or African American,2005,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),10,18031,2702396,0.370,667,0.00055
Georgia,Black or African American,2005,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",11,18031,2702396,0.407,667,0.00061
Georgia,Black or African American,2005,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),267,18031,2702396,9.880,667,0.01481
Georgia,Black or African American,2005,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),15,18031,2702396,0.555,667,0.00083
Georgia,Black or African American,2005,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),65,18031,2702396,2.405,667,0.00360
Georgia,White,2005,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),13,48094,5911406,0.220,814,0.00027
Georgia,White,2005,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),13,48094,5911406,0.220,814,0.00027
Georgia,White,2005,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),123,48094,5911406,2.081,814,0.00256
Georgia,White,2005,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),59,48094,5911406,0.998,814,0.00123
Georgia,White,2005,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",46,48094,5911406,0.778,814,0.00096
Georgia,White,2005,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),397,48094,5911406,6.716,814,0.00825
Georgia,Asian or Pacific Islander,2006,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),15,636,293130,5.117,217,0.02358
Georgia,Black or African American,2006,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",19,18416,2805927,0.677,656,0.00103
Georgia,Black or African American,2006,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),295,18416,2805927,10.513,656,0.01602
Georgia,Black or African American,2006,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),17,18416,2805927,0.606,656,0.00092
Georgia,Black or African American,2006,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),65,18416,2805927,2.317,656,0.00353
Georgia,White,2006,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),10,48681,6014480,0.166,809,0.00021
Georgia,White,2006,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",12,48681,6014480,0.200,809,0.00025
Georgia,White,2006,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),135,48681,6014480,2.245,809,0.00277
Georgia,White,2006,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),80,48681,6014480,1.330,809,0.00164
Georgia,White,2006,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",42,48681,6014480,0.698,809,0.00086
Georgia,White,2006,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),383,48681,6014480,6.368,809,0.00787
Georgia,Black or African American,2007,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),12,18590,2891925,0.415,643,0.00065
Georgia,Black or African American,2007,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",19,18590,2891925,0.657,643,0.00102
Georgia,Black or African American,2007,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),346,18590,2891925,11.964,643,0.01861
Georgia,Black or African American,2007,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),26,18590,2891925,0.899,643,0.00140
Georgia,Black or African American,2007,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),54,18590,2891925,1.867,643,0.00290
Georgia,White,2007,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),13,49118,6101972,0.213,805,0.00026
Georgia,White,2007,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",14,49118,6101972,0.229,805,0.00029
Georgia,White,2007,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),152,49118,6101972,2.491,805,0.00309
Georgia,White,2007,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),82,49118,6101972,1.344,805,0.00167
Georgia,White,2007,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",46,49118,6101972,0.754,805,0.00094
Georgia,White,2007,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),425,49118,6101972,6.965,805,0.00865
Georgia,Black or African American,2008,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),14,18999,2962628,0.473,641,0.00074
Georgia,Black or African American,2008,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",15,18999,2962628,0.506,641,0.00079
Georgia,Black or African American,2008,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),332,18999,2962628,11.206,641,0.01747
Georgia,Black or African American,2008,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),17,18999,2962628,0.574,641,0.00089
Georgia,Black or African American,2008,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",10,18999,2962628,0.338,641,0.00053
Georgia,Black or African American,2008,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),57,18999,2962628,1.924,641,0.00300
Georgia,White,2008,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),21,50125,6165916,0.341,813,0.00042
Georgia,White,2008,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),131,50125,6165916,2.125,813,0.00261
Georgia,White,2008,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),65,50125,6165916,1.054,813,0.00130
Georgia,White,2008,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",31,50125,6165916,0.503,813,0.00062
Georgia,White,2008,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),426,50125,6165916,6.909,813,0.00850
Georgia,Asian or Pacific Islander,2009,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),12,619,342019,3.509,181,0.01939
Georgia,Black or African American,2009,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),12,18813,3023009,0.397,622,0.00064
Georgia,Black or African American,2009,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",15,18813,3023009,0.496,622,0.00080
Georgia,Black or African American,2009,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),277,18813,3023009,9.163,622,0.01472
Georgia,Black or African American,2009,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),25,18813,3023009,0.827,622,0.00133
Georgia,Black or African American,2009,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),64,18813,3023009,2.117,622,0.00340
Georgia,White,2009,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),14,50250,6204180,0.226,810,0.00028
Georgia,White,2009,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",11,50250,6204180,0.177,810,0.00022
Georgia,White,2009,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),119,50250,6204180,1.918,810,0.00237
Georgia,White,2009,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),96,50250,6204180,1.547,810,0.00191
Georgia,White,2009,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",52,50250,6204180,0.838,810,0.00103
